2025-05-14 09:07:21.639 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:07:21.648 | INFO     | __main__:60 | Iniciando servidor em 0.0.0.0:8000
2025-05-14 09:07:27.863 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:07:27.893 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:07:27.900 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 09:07:27.901 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 09:07:45.151 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 09:07:45.153 | DEBUG    | classification.classifier:187 | Usando 1841 caracteres para classificação
2025-05-14 09:07:45.155 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1187 tokens estimados
2025-05-14 09:07:46.813 | SUCCESS  | classification.classifier:242 | Documento classificado como: Cartão CNPJ em 1.658s
2025-05-14 09:07:51.635 | DEBUG    | api.routes:220 | Dados extraídos com sucesso para tipo Cartão CNPJ
2025-05-14 09:07:52.957 | INFO     | api.routes:246 | Documento armazenado com ID: 5208216c-444a-4a59-9d07-0c85c4af6d0a
2025-05-14 09:07:52.958 | SUCCESS  | api.routes:261 | Documento processado com sucesso em 0:00:21.647982
2025-05-14 09:10:13.485 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:10:13.493 | INFO     | __main__:60 | Iniciando servidor em 0.0.0.0:8000
2025-05-14 09:10:18.746 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:10:18.776 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:10:18.783 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 09:10:18.783 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 09:10:31.641 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 09:10:31.642 | DEBUG    | classification.classifier:187 | Usando 1841 caracteres para classificação
2025-05-14 09:10:31.644 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1187 tokens estimados
2025-05-14 09:10:34.407 | SUCCESS  | classification.classifier:242 | Documento classificado como: Cartão CNPJ em 2.763s
2025-05-14 09:10:39.332 | DEBUG    | api.routes:220 | Dados extraídos com sucesso para tipo Cartão CNPJ
2025-05-14 09:10:40.889 | INFO     | api.routes:246 | Documento armazenado com ID: 16cbb089-5f13-4d38-bda9-b10b549e65ca
2025-05-14 09:10:40.889 | SUCCESS  | api.routes:261 | Documento processado com sucesso em 0:00:21.918873
2025-05-14 09:11:43.204 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:11:43.234 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:11:43.241 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 09:11:43.241 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 09:11:56.073 | INFO     | classification.classifier:183 | Classificando documento...
2025-05-14 09:11:56.074 | DEBUG    | classification.classifier:187 | Usando 1841 caracteres para classificação
2025-05-14 09:11:56.075 | DEBUG    | classification.classifier:205 | Enviando prompt com aproximadamente 1187 tokens estimados
2025-05-14 09:11:57.593 | SUCCESS  | classification.classifier:242 | Documento classificado como: Cartão CNPJ em 1.517s
2025-05-14 09:12:01.668 | DEBUG    | api.routes:220 | Dados extraídos com sucesso para tipo Cartão CNPJ
2025-05-14 09:12:03.318 | INFO     | api.routes:246 | Documento armazenado com ID: 090bc115-6fbb-4961-a052-ceac0e7fcddb
2025-05-14 09:12:03.319 | SUCCESS  | api.routes:261 | Documento processado com sucesso em 0:00:20.073605
2025-05-14 09:16:35.315 | WARNING  | main:31 | ========== Aplicação encerrada ==========
2025-05-14 09:16:42.042 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:16:42.072 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:16:42.079 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 09:16:42.079 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
2025-05-14 09:17:48.193 | WARNING  | main:31 | ========== Aplicação encerrada ==========
2025-05-14 09:17:53.596 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:17:53.625 | SUCCESS  | utils.logging:69 | Sistema de logging inicializado com sucesso!
2025-05-14 09:17:53.632 | SUCCESS  | main:25 | ========== Aplicação iniciada com sucesso ==========
2025-05-14 09:17:53.632 | INFO     | main:26 | Servidor rodando em http://0.0.0.0:8000
